               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11517,            0.037252,            0.042171,             0.39449,           0.0021623,            0.013069,          0.00093457,          0.00021455,            0.099903,            0.041839,             0.03986,             0.36798,             0.00043,             0.00043,             0.09613
                   1,            0.092366,             0.05048,            0.030009,             0.33586,            0.047313,            0.096013,            0.024262,           0.0057183,            0.077368,            0.050111,            0.031522,             0.32532,             0.00087,             0.00087,             0.09217
                   2,            0.075313,            0.049086,            0.020923,             0.29841,             0.65229,             0.48638,             0.38472,             0.14103,            0.062595,            0.044485,            0.025596,             0.29066,             0.00131,             0.00131,             0.08821
                   3,            0.072111,            0.040231,            0.016464,              0.2689,             0.31596,             0.36724,            0.052799,            0.013171,            0.077539,            0.030333,            0.022049,              0.2587,             0.00175,             0.00175,             0.08425
                   4,            0.085232,            0.031159,            0.013073,             0.23828,             0.42716,             0.29318,             0.20705,              0.0518,            0.069753,            0.023966,            0.018474,             0.22996,           0.0021899,           0.0021899,             0.08029
                   5,            0.089704,            0.024344,             0.01112,             0.21384,             0.41528,             0.40119,             0.20092,            0.059908,            0.088414,            0.019508,            0.015575,             0.21279,           0.0026299,           0.0026299,             0.07633
                   6,            0.091662,            0.021886,           0.0093565,             0.20313,             0.49008,             0.16252,             0.18105,             0.06233,            0.085956,             0.01831,            0.012373,             0.20635,           0.0030698,           0.0030698,             0.07237
                   7,              0.1002,            0.018018,           0.0070163,             0.19829,             0.59565,              0.5631,             0.42721,             0.13595,            0.085948,            0.018308,           0.0096495,             0.20216,           0.0035097,           0.0035097,             0.06841
                   8,            0.097415,            0.019333,           0.0060464,             0.19696,             0.55049,             0.44946,             0.26191,            0.058881,             0.09458,            0.016758,           0.0095898,             0.19983,           0.0039495,           0.0039495,             0.06445
                   9,              0.1012,            0.016655,           0.0057491,             0.19612,             0.55399,             0.43161,             0.30922,             0.10365,            0.093203,            0.016655,           0.0075748,             0.19882,           0.0043893,           0.0043893,            0.060489
                  10,             0.10216,            0.018093,            0.004151,              0.1952,             0.70764,             0.38866,             0.44715,             0.14917,             0.10048,            0.014471,           0.0067984,             0.19718,            0.004829,            0.004829,            0.056529
                  11,             0.10505,            0.016743,           0.0041366,             0.19499,             0.86724,             0.51374,             0.63558,             0.18955,            0.094312,             0.01448,           0.0055239,              0.1966,           0.0052687,           0.0052687,            0.052569
                  12,             0.11111,            0.015653,           0.0032254,             0.19473,             0.61566,              0.4086,             0.33865,            0.087361,             0.10672,            0.012037,           0.0051422,             0.19576,           0.0057084,           0.0057084,            0.048608
                  13,             0.11267,            0.014247,           0.0030609,             0.19411,             0.52025,             0.21861,             0.22332,            0.050865,             0.10606,            0.011709,           0.0053605,             0.19498,           0.0061479,           0.0061479,            0.044648
                  14,             0.11512,            0.014537,           0.0028978,             0.19348,             0.59213,             0.30152,             0.37859,             0.10431,             0.11434,           0.0097324,           0.0047246,             0.19382,           0.0065875,           0.0065875,            0.040687
                  15,             0.11725,             0.01316,           0.0025026,             0.19334,             0.58693,             0.48953,             0.45254,             0.18671,             0.11517,            0.011175,           0.0046107,             0.19064,           0.0070269,           0.0070269,            0.036727
                  16,             0.11719,            0.012565,           0.0021556,              0.1929,             0.74406,             0.44504,             0.52826,             0.21023,             0.11063,            0.010385,           0.0036749,             0.19177,           0.0074662,           0.0074662,            0.032766
                  17,             0.11666,            0.012524,           0.0021718,             0.19251,             0.79357,             0.44823,             0.48454,             0.17317,             0.10433,            0.010663,           0.0032898,             0.18978,           0.0079055,           0.0079055,            0.028805
                  18,             0.11633,            0.011737,           0.0018443,             0.19236,             0.51876,             0.47177,             0.45734,             0.14248,             0.10636,            0.010672,            0.002938,             0.19034,           0.0083447,           0.0083447,            0.024845
                  19,             0.11819,            0.012398,           0.0023173,             0.19183,             0.63151,             0.34887,             0.38346,              0.1196,             0.10986,            0.010426,           0.0027693,             0.19066,           0.0087837,           0.0087837,            0.020884
                  20,             0.11574,            0.012932,           0.0021941,             0.19106,             0.22156,             0.41978,              0.3273,             0.11175,             0.10683,            0.011626,           0.0033325,             0.18753,           0.0092227,           0.0092227,            0.016923
                  21,             0.11511,            0.012469,           0.0022611,             0.19039,             0.76069,             0.41627,             0.52003,              0.1573,             0.10949,            0.010216,           0.0023864,             0.18552,           0.0096616,           0.0096616,            0.012962
                  22,             0.11787,            0.011187,           0.0016867,             0.18822,             0.67523,             0.50081,             0.48884,             0.12496,             0.10284,            0.011284,           0.0028532,             0.17922,           0.0099905,           0.0099905,           0.0099905
                  23,             0.11171,            0.012582,           0.0019783,             0.18656,             0.50905,             0.57523,             0.49013,             0.19083,              0.1013,            0.011477,           0.0024867,             0.17565,           0.0099905,           0.0099905,           0.0099905
                  24,             0.11396,             0.01187,            0.001543,             0.18685,             0.76355,             0.46436,             0.50946,             0.16618,             0.10058,            0.011002,           0.0025674,             0.18022,           0.0099896,           0.0099896,           0.0099896
                  25,             0.11089,            0.012974,           0.0017519,             0.18508,              0.3191,             0.40224,             0.27131,            0.091537,            0.098942,            0.011327,            0.001879,             0.17483,           0.0099886,           0.0099886,           0.0099886
                  26,             0.10543,            0.013331,           0.0018582,             0.18436,             0.46328,             0.72322,             0.53707,             0.19288,            0.088954,            0.016089,           0.0021916,             0.17574,           0.0099877,           0.0099877,           0.0099877
